Country Name,Continental region,2021
Libya,NORTHERN AFRICA,0.0065005416
Angola,SUB-SAHARAN AFRICA,0.012712721778479999
Sudan,SUB-SAHARAN AFRICA,0.01449771675
Kyrgyzstan,CIS (FORMER USSR),0.01727594218
Zimbabwe,SUB-SAHARAN AFRICA,0.02055672
Tajikistan,CIS (FORMER USSR),0.0232
Uzbekistan,CIS (FORMER USSR),0.02733506285
Guinea,SUB-SAHARAN AFRICA,0.03272042284884
Algeria,NORTHERN AFRICA,0.032792467964223
Kuwait,NEAR EAST,0.033
Ethiopia,SUB-SAHARAN AFRICA,0.0346560843875
Qatar,NEAR EAST,0.035704474
Bhutan,ASIA (EX. NEAR EAST),0.03573420880000001
Yemen,NEAR EAST,0.035964180000000005
Iraq,NEAR EAST,0.03937007865
Kazakhstan,CIS (FORMER USSR),0.039316910904320004
Mongolia,ASIA (EX. NEAR EAST),0.0407906422
Egypt,NORTHERN AFRICA,0.0413496525
Iran,ASIA (EX. NEAR EAST),0.04439976321371
Bahrain,NEAR EAST,0.0445587912
Puerto Rico,CARIBBEAN,0.04944
Russian Federation,CIS (FORMER USSR),0.049982
Myanmar,ASIA (EX. NEAR EAST),0.050256207000000004
Azerbaijan,CIS (FORMER USSR),0.05058823493999999
Oman,NEAR EAST,0.05195474
Mexico,CENTRAL AMERICA,0.05230568388
Argentina,SOUTH AMERICA,0.05266914520587703
Trinidad and Tobago,CARIBBEAN,0.05305370399999999
Paraguay,SOUTH AMERICA,0.05354902305
Ukraine,CIS (FORMER USSR),0.057331326
Brunei Darussalam,ASIA (EX. NEAR EAST),0.058469872
Lebanon,NEAR EAST,0.057963446088
Saudi Arabia,NEAR EAST,0.06077554320000001
Tunisia,NORTHERN AFRICA,0.061015820799999995
Serbia,EASTERN EUROPE,0.06140788963200001
Sri Lanka,ASIA (EX. NEAR EAST),0.06412313700000001
Suriname,SOUTH AMERICA,0.065241236896
Afghanistan,ASIA (EX. NEAR EAST),0.0649694375
Lao People's Democratic Republic,ASIA (EX. NEAR EAST),0.06619423844192307
Belarus,CIS (FORMER USSR),0.0685152
Zambia,SUB-SAHARAN AFRICA,0.05555
Tanzania,SUB-SAHARAN AFRICA,0.06904038056999999
Malaysia,ASIA (EX. NEAR EAST),0.06960011699999999
Poland,EASTERN EUROPE,0.0696804708
Turkey,NEAR EAST,0.0709137247
